timestamp_entry,timestamp_exit,pair,direction,entry_price,exit_price,quantity_usdt,pnl_usdt,pnl_pct,hold_days,exit_reason,account_balance_after,leverage,exchange,strategy
2026-01-31T00:00:00+00:00,2026-02-01T00:00:00+00:00,BNBUSDT,LONG,781.7,742.615,2000.0,-100.0,-5.0,1,STOP_LOSS (−5.0%),9900.0,1,Bitget Spot,AlphaAgent v14 Volatility Harness
2026-01-31T00:00:00+00:00,2026-02-02T00:00:00+00:00,BTCUSDT,LONG,78735.47,74798.6965,2000.0,-100.0,-5.0,2,STOP_LOSS (−5.0%),9800.0,1,Bitget Spot,AlphaAgent v14 Volatility Harness
2026-02-02T00:00:00+00:00,2026-02-03T00:00:00+00:00,BTCUSDT,LONG,78733.66,74796.977,1987.87,-99.3935,-5.0,1,STOP_LOSS (−5.0%),9700.61,1,Bitget Spot,AlphaAgent v14 Volatility Harness
2026-02-01T00:00:00+00:00,2026-02-04T00:00:00+00:00,BNBUSDT,LONG,758.5,720.575,1979.12,-98.956,-5.0,3,STOP_LOSS (−5.0%),9601.65,1,Bitget Spot,AlphaAgent v14 Volatility Harness
2026-02-03T00:00:00+00:00,2026-02-04T00:00:00+00:00,BTCUSDT,LONG,75766.5,71978.175,1943.29,-97.1647,-5.0,1,STOP_LOSS (−5.0%),9504.49,1,Bitget Spot,AlphaAgent v14 Volatility Harness
2026-02-04T00:00:00+00:00,2026-02-05T00:00:00+00:00,BTCUSDT,LONG,73171.01,69512.4595,1894.97,-94.7487,-5.0,1,STOP_LOSS (−5.0%),9409.74,1,Bitget Spot,AlphaAgent v14 Volatility Harness
2026-02-05T00:00:00+00:00,2026-02-12T00:00:00+00:00,TRXUSDT,LONG,0.2694,0.2799,1847.73,72.0162,3.8976,7,TIME_STOP (7d),9481.75,1,Bitget Spot,AlphaAgent v14 Volatility Harness
2026-06-02T00:00:00+00:00,2026-06-04T00:00:00+00:00,BTCUSDT,LONG,66758.33,63420.4135,1896.35,-94.8175,-5.0,2,STOP_LOSS (−5.0%),9386.94,1,Bitget Spot,AlphaAgent v14 Volatility Harness
2026-06-02T00:00:00+00:00,2026-06-04T00:00:00+00:00,ETHUSDT,LONG,1860.04,1767.038,1896.35,-94.8175,-5.0,2,STOP_LOSS (−5.0%),9292.12,1,Bitget Spot,AlphaAgent v14 Volatility Harness
2026-06-02T00:00:00+00:00,2026-06-04T00:00:00+00:00,XRPUSDT,LONG,1.2116,1.15102,1896.35,-94.8175,-5.0,2,STOP_LOSS (−5.0%),9197.3,1,Bitget Spot,AlphaAgent v14 Volatility Harness
2026-06-04T00:00:00+00:00,2026-06-05T00:00:00+00:00,BTCUSDT,LONG,63883.9,60689.705,1848.47,-92.4234,-5.0,1,STOP_LOSS (−5.0%),9104.88,1,Bitget Spot,AlphaAgent v14 Volatility Harness
2026-06-04T00:00:00+00:00,2026-06-05T00:00:00+00:00,ETHUSDT,LONG,1770.85,1682.3075,1848.47,-92.4234,-5.0,1,STOP_LOSS (−5.0%),9012.45,1,Bitget Spot,AlphaAgent v14 Volatility Harness
2026-06-04T00:00:00+00:00,2026-06-05T00:00:00+00:00,XRPUSDT,LONG,1.1689,1.110455,1848.47,-92.4234,-5.0,1,STOP_LOSS (−5.0%),8920.03,1,Bitget Spot,AlphaAgent v14 Volatility Harness
2026-06-04T00:00:00+00:00,2026-06-05T00:00:00+00:00,DOGEUSDT,LONG,0.08857,0.0841415,1848.47,-92.4234,-5.0,1,STOP_LOSS (−5.0%),8827.61,1,Bitget Spot,AlphaAgent v14 Volatility Harness
2026-06-04T00:00:00+00:00,2026-06-05T00:00:00+00:00,SHIBUSDT,LONG,4.95e-06,4.71e-06,1803.43,-90.1715,-5.0,1,STOP_LOSS (−5.0%),8737.44,1,Bitget Spot,AlphaAgent v14 Volatility Harness
2026-06-05T00:00:00+00:00,2026-06-12T00:00:00+00:00,BTCUSDT,LONG,61056.01,63575.0,1703.13,70.2662,4.1257,7,TIME_STOP (7d),8807.7,1,Bitget Spot,AlphaAgent v14 Volatility Harness
2026-06-05T00:00:00+00:00,2026-06-12T00:00:00+00:00,XRPUSDT,LONG,1.0979,1.1327,1703.13,53.984,3.1697,7,TIME_STOP (7d),8861.69,1,Bitget Spot,AlphaAgent v14 Volatility Harness
2026-06-10T00:00:00+00:00,2026-06-17T00:00:00+00:00,SHIBUSDT,LONG,4.62e-06,4.96e-06,1749.72,126.8739,7.2511,7,TIME_STOP (7d),8988.56,1,Bitget Spot,AlphaAgent v14 Volatility Harness
